"Source Path","Destination Path","Size (Bytes)","Size (Human)","Time (ms)","Status","Error Detail"
"T:/Picture_Backup\IMG_0596-5.png","B:/Temp_Working(T)\Picture_Backup\IMG_0596-5.png","1424017","1.36 MB","5.1","Success",""
"T:/Picture_Backup\IMG_0646-1.jpg","B:/Temp_Working(T)\Picture_Backup\IMG_0646-1.jpg","461877","451.05 KB","4.0","Success",""
"T:/Picture_Backup\IMG_0646-1.png","B:/Temp_Working(T)\Picture_Backup\IMG_0646-1.png","2754817","2.63 MB","9.9","Success",""
"T:/Picture_Backup\IMG_0661-5.png","B:/Temp_Working(T)\Picture_Backup\IMG_0661-5.png","4746080","4.53 MB","76.7","Success",""
"T:/Picture_Backup\IMG_0666.JPG","B:/Temp_Working(T)\Picture_Backup\IMG_0666.JPG","1402898","1.34 MB","6.2","Success",""
"T:/Picture_Backup\IMG_0667-1.JPG","B:/Temp_Working(T)\Picture_Backup\IMG_0667-1.JPG","1673163","1.60 MB","115.2","Failed","PermissionError: [WinError 5] Access is denied: '\\\\?\\T:\\Picture_Backup\\IMG_0667-1.JPG'"
"T:/Picture_Backup\IMG_0667-1.png","B:/Temp_Working(T)\Picture_Backup\IMG_0667-1.png","2113926","2.02 MB","8.3","Success",""
"T:/Picture_Backup\IMG_0669-2.JPG","B:/Temp_Working(T)\Picture_Backup\IMG_0669-2.JPG","1662045","1.59 MB","7.0","Success",""
"T:/Picture_Backup\IMG_0669-2.png","B:/Temp_Working(T)\Picture_Backup\IMG_0669-2.png","2078950","1.98 MB","7.5","Success",""
"T:/Picture_Backup\IMG_0670.JPG","B:/Temp_Working(T)\Picture_Backup\IMG_0670.JPG","1594249","1.52 MB","71.4","Success",""
"T:/Picture_Backup\IMG_0678-2.JPG","B:/Temp_Working(T)\Picture_Backup\IMG_0678-2.JPG","1543377","1.47 MB","6.4","Success",""
"T:/Picture_Backup\IMG_0678-2.png","B:/Temp_Working(T)\Picture_Backup\IMG_0678-2.png","1966864","1.88 MB","7.8","Success",""
"T:/Picture_Backup\IMG_0761.JPG","B:/Temp_Working(T)\Picture_Backup\IMG_0761.JPG","1188694","1.13 MB","5.4","Success",""
"T:/Picture_Backup\IMG_0861-3.JPG","B:/Temp_Working(T)\Picture_Backup\IMG_0861-3.JPG","1467706","1.40 MB","68.9","Failed","PermissionError: [WinError 5] Access is denied: '\\\\?\\T:\\Picture_Backup\\IMG_0861-3.JPG'"
"T:/Picture_Backup\IMG_0883-2.jpg","B:/Temp_Working(T)\Picture_Backup\IMG_0883-2.jpg","1542011","1.47 MB","6.1","Success",""
"T:/Picture_Backup\IMG_1379.JPG","B:/Temp_Working(T)\Picture_Backup\IMG_1379.JPG","3127703","2.98 MB","10.4","Failed","PermissionError: [WinError 5] Access is denied: '\\\\?\\T:\\Picture_Backup\\IMG_1379.JPG'"
"T:/Picture_Backup\IMG_1379.png","B:/Temp_Working(T)\Picture_Backup\IMG_1379.png","5837775","5.57 MB","81.0","Success",""
"T:/Picture_Backup\IMG_1407.JPG","B:/Temp_Working(T)\Picture_Backup\IMG_1407.JPG","3063749","2.92 MB","74.0","Failed","PermissionError: [WinError 5] Access is denied: '\\\\?\\T:\\Picture_Backup\\IMG_1407.JPG'"
"T:/Picture_Backup\IMG_1407.png","B:/Temp_Working(T)\Picture_Backup\IMG_1407.png","1349665","1.29 MB","5.4","Success",""
"T:/Picture_Backup\IMG_1425.JPG","B:/Temp_Working(T)\Picture_Backup\IMG_1425.JPG","3658643","3.49 MB","11.2","Failed","PermissionError: [WinError 5] Access is denied: '\\\\?\\T:\\Picture_Backup\\IMG_1425.JPG'"
"T:/Picture_Backup\IMG_1425.png","B:/Temp_Working(T)\Picture_Backup\IMG_1425.png","1203616","1.15 MB","68.5","Success",""
"T:/Picture_Backup\IMG_1462.JPG","B:/Temp_Working(T)\Picture_Backup\IMG_1462.JPG","2750748","2.62 MB","8.9","Failed","PermissionError: [WinError 5] Access is denied: '\\\\?\\T:\\Picture_Backup\\IMG_1462.JPG'"
"T:/Picture_Backup\IMG_1462.png","B:/Temp_Working(T)\Picture_Backup\IMG_1462.png","10830221","10.33 MB","94.1","Success",""
"T:/Picture_Backup\IMG_1474.JPG","B:/Temp_Working(T)\Picture_Backup\IMG_1474.JPG","2885588","2.75 MB","73.9","Failed","PermissionError: [WinError 5] Access is denied: '\\\\?\\T:\\Picture_Backup\\IMG_1474.JPG'"
"T:/Picture_Backup\IMG_1475.JPG","B:/Temp_Working(T)\Picture_Backup\IMG_1475.JPG","3146829","3.00 MB","9.6","Failed","PermissionError: [WinError 5] Access is denied: '\\\\?\\T:\\Picture_Backup\\IMG_1475.JPG'"
"T:/Picture_Backup\IMG_1677.JPG","B:/Temp_Working(T)\Picture_Backup\IMG_1677.JPG","5052468","4.82 MB","91.8","Success",""
"T:/Picture_Backup\IMG_1688.JPG","B:/Temp_Working(T)\Picture_Backup\IMG_1688.JPG","5501505","5.25 MB","80.3","Success",""
"T:/Picture_Backup\IMG_1732.JPG","B:/Temp_Working(T)\Picture_Backup\IMG_1732.JPG","4560538","4.35 MB","14.5","Success",""
"T:/Picture_Backup\IMG_1899.JPG","B:/Temp_Working(T)\Picture_Backup\IMG_1899.JPG","3727395","3.55 MB","89.1","Success",""
"T:/Picture_Backup\IMG_2032.JPG","B:/Temp_Working(T)\Picture_Backup\IMG_2032.JPG","5104438","4.87 MB","16.4","Success",""
"T:/Picture_Backup\IMG_2075.JPG","B:/Temp_Working(T)\Picture_Backup\IMG_2075.JPG","4985661","4.75 MB","146.9","Success",""
"T:/Picture_Backup\IMG_4414.jpg","B:/Temp_Working(T)\Picture_Backup\IMG_4414.jpg","812319","793.28 KB","56.8","Success",""
"T:/Picture_Backup\IMG_5331.JPG","B:/Temp_Working(T)\Picture_Backup\IMG_5331.JPG","1482326","1.41 MB","5.9","Success",""
"T:/Picture_Backup\In-Person.zip","B:/Temp_Working(T)\Picture_Backup\In-Person.zip","90798383","86.59 MB","1012.8","Success",""
"T:/Picture_Backup\Internet_05312025.zip","B:/Temp_Working(T)\Picture_Backup\Internet_05312025.zip","200274731","191.00 MB","2077.8","Success",""
"T:/Picture_Backup\Ironman2009_0063-2.JPG","B:/Temp_Working(T)\Picture_Backup\Ironman2009_0063-2.JPG","2003492","1.91 MB","69.2","Success",""
"T:/Picture_Backup\Ironman2009_0063-2.png","B:/Temp_Working(T)\Picture_Backup\Ironman2009_0063-2.png","1876018","1.79 MB","7.9","Success",""
"T:/Picture_Backup\istockphoto-1401633611-640x640.jpg","B:/Temp_Working(T)\Picture_Backup\istockphoto-1401633611-640x640.jpg","19124","18.68 KB","3.3","Success",""
"T:/Picture_Backup\Jade LCLY 1-fotor-2025052520157.png","B:/Temp_Working(T)\Picture_Backup\Jade LCLY 1-fotor-2025052520157.png","667495","651.85 KB","4.4","Success",""
"T:/Picture_Backup\JamieW101.png","B:/Temp_Working(T)\Picture_Backup\JamieW101.png","3112088","2.97 MB","70.0","Success",""
"T:/Picture_Backup\jamskate 02012004_005-3.JPG","B:/Temp_Working(T)\Picture_Backup\jamskate 02012004_005-3.JPG","57008","55.67 KB","2.2","Failed","PermissionError: [WinError 5] Access is denied: '\\\\?\\T:\\Picture_Backup\\jamskate 02012004_005-3.JPG'"
"T:/Picture_Backup\Jen-Shanda-Randy-2.jpg","B:/Temp_Working(T)\Picture_Backup\Jen-Shanda-Randy-2.jpg","271463","265.10 KB","2.5","Success",""
"T:/Picture_Backup\Jen-Shanda-Randy-2.png","B:/Temp_Working(T)\Picture_Backup\Jen-Shanda-Randy-2.png","406900","397.36 KB","3.2","Success",""
"T:/Picture_Backup\Jennife insule 16 GS NBG.png","B:/Temp_Working(T)\Picture_Backup\Jennife insule 16 GS NBG.png","1338932","1.28 MB","5.7","Success",""
"T:/Picture_Backup\Jennife insule 16.bmp","B:/Temp_Working(T)\Picture_Backup\Jennife insule 16.bmp","1929906","1.84 MB","7.0","Success",""
"T:/Picture_Backup\Jennifer & Shanda.jpg","B:/Temp_Working(T)\Picture_Backup\Jennifer & Shanda.jpg","1267084","1.21 MB","5.8","Success",""
"T:/Picture_Backup\jole YouTube.png","B:/Temp_Working(T)\Picture_Backup\jole YouTube.png","286608","279.89 KB","3.0","Success",""
"T:/Picture_Backup\JupiterAscending201416767_d.jpg","B:/Temp_Working(T)\Picture_Backup\JupiterAscending201416767_d.jpg","136528","133.33 KB","2.7","Success",""
"T:/Picture_Backup\KennedyYo-fotor-20250606202629.png","B:/Temp_Working(T)\Picture_Backup\KennedyYo-fotor-20250606202629.png","1697987","1.62 MB","75.5","Success",""
"T:/Picture_Backup\KennedyYo.png","B:/Temp_Working(T)\Picture_Backup\KennedyYo.png","423582","413.65 KB","3.8","Success",""
"T:/Picture_Backup\kidman Days Of Thunder.png","B:/Temp_Working(T)\Picture_Backup\kidman Days Of Thunder.png","1101884","1.05 MB","5.5","Success",""
"T:/Picture_Backup\KillThemAll DarkMatter-fotor-2025052520288.png","B:/Temp_Working(T)\Picture_Backup\KillThemAll DarkMatter-fotor-2025052520288.png","497459","485.80 KB","3.3","Success",""
"T:/Picture_Backup\KON Kissing 1.png","B:/Temp_Working(T)\Picture_Backup\KON Kissing 1.png","3595055","3.43 MB","11.1","Success",""
"T:/Picture_Backup\Larua - Cody 1.jpg","B:/Temp_Working(T)\Picture_Backup\Larua - Cody 1.jpg","1285382","1.23 MB","73.1","Success",""
"T:/Picture_Backup\library_hero.jpg","B:/Temp_Working(T)\Picture_Backup\library_hero.jpg","275952","269.48 KB","3.0","Success",""
"T:/Picture_Backup\Lisa 94.jpg","B:/Temp_Working(T)\Picture_Backup\Lisa 94.jpg","269974","263.65 KB","3.0","Success",""
"T:/Picture_Backup\Lisa B-fotor-202505243915.png","B:/Temp_Working(T)\Picture_Backup\Lisa B-fotor-202505243915.png","1060127","1.01 MB","6.5","Success",""
"T:/Picture_Backup\Lisa Buc 96.jpg","B:/Temp_Working(T)\Picture_Backup\Lisa Buc 96.jpg","435495","425.29 KB","3.0","Success",""
"T:/Picture_Backup\Lori B_01_.png","B:/Temp_Working(T)\Picture_Backup\Lori B_01_.png","824114","804.80 KB","4.4","Success",""
"T:/Picture_Backup\MarinaG'.png","B:/Temp_Working(T)\Picture_Backup\MarinaG'.png","493502","481.94 KB","3.4","Success",""
"T:/Picture_Backup\MarinaG_NB.png","B:/Temp_Working(T)\Picture_Backup\MarinaG_NB.png","574588","561.12 KB","3.9","Success",""
"T:/Picture_Backup\Mark-Jimmy-Cody First Farm.png","B:/Temp_Working(T)\Picture_Backup\Mark-Jimmy-Cody First Farm.png","2122007","2.02 MB","81.9","Success",""
"T:/Picture_Backup\Marry Cherry.png","B:/Temp_Working(T)\Picture_Backup\Marry Cherry.png","226086","220.79 KB","2.8","Success",""
"T:/Picture_Backup\MeganKelly-fotor-20250606202554.png","B:/Temp_Working(T)\Picture_Backup\MeganKelly-fotor-20250606202554.png","3071627","2.93 MB","23.5","Success",""
"T:/Picture_Backup\MeganKelly.png","B:/Temp_Working(T)\Picture_Backup\MeganKelly.png","698762","682.38 KB","4.5","Success",""
"T:/Picture_Backup\Michelle-2.png","B:/Temp_Working(T)\Picture_Backup\Michelle-2.png","2210443","2.11 MB","98.5","Success",""
"T:/Picture_Backup\Mid-section-Couch.png","B:/Temp_Working(T)\Picture_Backup\Mid-section-Couch.png","3199312","3.05 MB","11.4","Success",""
"T:/Picture_Backup\Mid-section-Couch_OVI.png","B:/Temp_Working(T)\Picture_Backup\Mid-section-Couch_OVI.png","605908","591.71 KB","5.7","Success",""
"T:/Picture_Backup\Mindy the dog Burial.png","B:/Temp_Working(T)\Picture_Backup\Mindy the dog Burial.png","2527137","2.41 MB","8.6","Success",""
